ReturnYear,Igushik,Wood,Nushagak,Kvichak,Alagnak,Naknek,Egegik,Ugashik
1963,24495,646298,152160,187788,119539,635298,706906,192645
1964,53185,1220165,118440,1117981,473581,498848,1064694,769299
1965,78695,462044,252584,18132718,172365,349231,3066450,1524050
1966,64900,978890,126483,4030044,170560,1509824,1735222,498517
1967,88652,517682,51377,1753189,106916,643211,912156,156414
1968,50731,656608,41942,822903,71000,507373,514651,54939
1969,144771,564820,63615,3846672,97985,952506,716406,100669
1970,85293,798274,304964,16526567,261226,1621850,782000,187214
1971,76104,916138,264556,3581814,272761,2198434,1073997,991121
1972,16351,314217,25191,579542,75103,507803,778733,18444
1973,10173,171456,77948,56212,8392,112725,211604,4573
1974,29836,423930,35396,378664,20322,158897,153128,1558
1975,24927,392060,155364,2091992,5081,982587,921188,63150
1976,53329,719093,451959,1236024,59483,1537414,1020297,198769
1977,5787,174159,381433,176351,103777,1551697,2021101,187476
1978,164443,2227702,633397,3424342,475960,1342721,1085789,10145
1979,313849,2360788,467839,13004447,824060,1821455,1473517,516798
1980,128733,2816224,1406607,13220848,46146,2139265,2187780,1035357
1981,432088,4345530,2479454,4653303,409829,6333804,3614484,2458859
1982,72878,2695924,2984249,1387820,596945,3025788,2360932,1221022
1983,787403,2550637,1610445,16905762,2292644,2262825,7252744,2950096
1984,69394,1255092,632982,12499839,597478,2483525,4080395,2734260
1985,301698,511063,393694,6117769,483786,2157248,6811702,6530640
1986,133244,1221757,1210301,759651,398144,1884787,4183224,5502252
1987,158226,2060304,903804,3730758,302855,1124325,4889846,2123377
1988,62606,1070216,521283,2429322,278552,818078,6246444,1432615
1989,180103,1792472,576723,10865961,654816,2209335,7805459,3440765
1990,185189,2036488,1001535,10114480,916032,5790909,10050631,1886477
1991,469305,3185297,1024465,3793694,820499,5735476,6110012,3261698
1992,141110,1626981,1021650,5215961,758654,3298454,15013844,3817706
1993,250992,3313894,1648894,3278297,1323733,3639666,21409649,4464849
1994,199556,2119839,831477,11880889,1142481,2381986,10461934,4314972
1995,194375,3286612,471976,16649794,1320172,1978239,13565853,4387633
1996,264268,4080314,1021363,2757380,1487120,3411312,10996222,4531044
1997,38046,1627962,340939,675303,181917,565547,6204720,1655480
1998,73136,2204895,418093,1139467,422065,967331,3264603,841697
1999,144172,3755727,90514,6145652,1607093,2674810,4511723,3372389
2000,287657,3749703,836049,1412030,862053,1505389,6754659,1554923
2001,205689,3149777,1180637,655434,377833,1475629,2565784,589045
2002,47154,1895469,316877,94051,89109,235436,4300128,1499942
2003,159111,4653537,1721216,127121,290970,210004,1998340,1700512
2004,78569,4686701,1454364,2074108,1789480,1035381,9984499,3256125
2005,285344,4217592,2462123,201845,429113,1805893,7506806,2200762
2006,231734,8344993,2121367,2324882,1307155,1145269,6934492,2688228
2007,335570,5969271,1857359,2224048,1665765,2237591,5604083,4519486
2008,433933,4796111,1337226,2692041,2069813,6185979,6241401,2211749
2009,720029,5161982,1533677,3884786,1251527,3576698,10761212,2375451
2010,468815,5712262,712107,5766780,1376335,3681797,4099567,4052415
2011,198118,3632691,687996,4281587,1145344,3988585,3433116,2987474
2012,120150,1543862,553336,7031968,1102254,2116140,4383927,2078599
2013,121203,1899682,991387,3625920,642602,1879868,3689619,1573399
2014,620101,4044747,867318,12242648,1188822,3572216,3603683,494454
2015,382275,2982008,1631787,14568245,2053094,3878497,6182845,2603667
2016,584380,4858550,1825212,8655379,2846420,3094390,7802771,5375812
2017,160968,6199341,5027810,3298824,1993895,3660690,9406258,5254501
2018,589427,14048920,8155542,2232517,1108859,2823554,4253684,3369243
2019,700148,9869975,3525706,4241899,734959,4399630,12899606,2013520
2020,572558,5478849,2356080,4709256,1806128,4743848,13112158,3301763