Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1948,-2.71,-2.675,-1.955,-1.398,1.324,6.088,8.965,9.464,8.288,3.862,-1.166,-1.696
1949,-2.164,-2.534,-1.279,-2.353,1.001,5.317,9.44,10.021,8.756,5.114,1.889,-1.2
1950,-1.66,-5.881,-1.175,-2.392,-0.28,5.098,9.352,10.742,8.458,4.562,-0.089,-3.329
1951,-5.164,-1.94,-4.654,-1.84,2.107,6.369,10.493,10.761,8.956,5.283,1.54,-2.034
1952,-3.659,-3.656,-3.004,-4.36,0.247,5.649,9.372,10.403,8.47,5.648,2.51,-4.039
1953,-4.264,-3.682,-8.262,-0.193,4.129,8.437,11.588,10.966,8.756,4.193,1.407,-0.494
1954,-5.608,-12.69,-5.494,-0.948,3.914,7.822,10.209,10.637,8.981,5.701,2.009,-3.093
1955,-1.204,-4.409,-2.414,-1.546,3.118,5.884,9.317,10.073,8.409,3.537,-0.034,-2.637
1956,-8.332,-10.956,-9.388,-2.755,2.354,6.572,10.315,10.704,8.195,3.489,-2.402,-8.492
1957,-2.136,-4.686,-3.267,0.699,4.48,9.401,11.333,11.596,9.219,6.609,2.997,-4.722
1958,-3.882,-3.427,-0.54,0.958,3.852,7.718,10.129,10.517,8.747,4.569,-0.021,-1.225
1959,-2.383,-2.2,-6.717,-1.164,3.413,8.055,9.959,10.836,8.432,5.142,2.33,-5.581
1960,-2.796,-5.457,-5.973,-2.284,4.275,7.35,10.556,9.935,7.97,4.208,0.174,-0.257
1961,-1.753,-5.837,-4.688,-0.968,3.401,7.19,9.419,9.88,8.316,3.484,0.708,-3.603
1962,-4.613,-2.553,-4.418,-0.484,3.086,7.216,10.82,10.696,8.146,4.713,0.878,-2.222
1963,-0.475,-1.906,-2.274,-2.616,2.951,6.589,10.212,10.515,9.434,4.422,-1.751,-0.784
1964,-3.359,-7.311,-8.098,-0.824,2.368,7.863,10.155,10.021,8.62,4.536,-0.126,-4.778
1965,-4.948,-11.244,-0.422,-0.004,2.385,6.312,9.435,9.897,9,3.134,1.305,-3.876
1966,-1.418,-1.905,-10.536,-0.285,2.413,7.538,9.904,10.13,8.415,3.589,0.737,-2.094
1967,-4.506,-6.444,-1.122,1.084,3.252,6.998,10.135,11.028,8.677,4.49,2.066,-3.172
1968,-5.238,-5.099,-0.998,0.088,3.688,7.778,10.953,10.841,8.281,4.31,1.505,-2.86
1969,-3.798,-3.35,-0.91,0.424,3.004,7.486,9.984,10.167,9.074,6.089,0.301,-0.891
1970,-6.108,-2.924,-1.383,-0.229,3.097,7.2,9.107,9.657,7.963,4.159,2.599,-1.736
1971,-4.145,-8.32,-11.048,-4.464,0.82,5.854,8.767,9.555,7.795,4.282,0.174,-0.633
1972,-2.304,-2.883,-8.672,-2.731,1.361,5.612,9.68,10.251,7.923,4.826,1.28,-1.193
1973,-7.939,-4.993,-4.907,-0.468,2.474,6.766,9.3,9.606,8.104,4.268,0.988,-1.331
1974,-4.755,-13.776,-5.896,-0.223,3.57,7.005,10.059,10.982,9.529,4.09,-0.062,-4.417
1975,-5.571,-9.587,-6.775,-3.705,2.079,5.834,9.644,10.069,7.762,3.338,-1.618,-3.386
1976,-4.736,-10.237,-10.312,-5.069,1.037,4.965,9.313,9.991,7.956,4.284,1.39,-1.65
1977,0.99,0.591,-2.908,-1.401,2.252,7.387,10.46,11.18,9.172,4.184,-0.455,-2.971
1978,0.25,-1.74,-2.085,1.138,3.914,6.828,9.551,10.959,8.661,4.964,2.093,0.997
1979,0.687,-4.126,-0.48,1.187,4.21,7.387,10.926,11.291,9.648,5.315,2.472,-2.819
1980,-4.742,-3.519,-0.931,0.876,3.707,6.608,10.14,10.095,8.541,4.262,1.281,-3.049
1981,0.079,-1.69,0.265,0.771,4.832,7.738,10.318,10.805,8.442,4.136,0.653,-1.78
1982,-1.773,-3.667,-2.538,-3.132,1.383,5.365,8.013,9.068,7.368,2.003,0.567,-0.713
1983,-3.883,-2.987,-0.852,0.094,3.573,7.723,11.202,10.925,8.83,3.846,2.069,1.309
1984,-0.725,-6.84,-1.096,-1.632,2.568,7.985,10.053,10.933,9.252,4.269,1.82,1.412
1985,1.996,-3.552,-2.219,-3.062,1.623,5.217,9.378,9.384,8.009,2.679,0.852,0.969
1986,-1.87,-2.577,-3.453,-2.15,2.252,5.76,9.62,9.816,8.981,4.903,1.896,1.375
1987,-1.876,-2.177,-1.329,-0.576,3.149,6.567,10.443,11.752,8.798,4.772,0.404,-3.251
1988,-2.31,-2.616,-3.364,-1.253,3.266,7.616,11.63,10.905,8.473,3.59,-0.494,-3.43
1989,-9.58,-2.064,-3.628,-1.076,1.994,6.575,10.231,11.275,9.558,4.782,0.015,-2.547
1990,-3.633,-6.752,-3.069,-0.315,3.13,7.332,10.982,11.396,8.678,3.905,0.297,-2.009
1991,-3.935,-4.848,-2.867,-0.893,2.777,6.583,10.832,10.767,9.082,4.89,1.031,-2.803
1992,-4.276,-7.334,-5.086,-1.671,2.506,6.706,10.331,9.76,6.66,2.967,-0.206,-2.333
1993,-5.426,-4.367,-1.812,0.488,4.12,7.683,10.844,11.369,8.874,5.086,2.929,0.916
1994,-2.351,-3.826,-4.931,-0.797,2.993,6.954,9.948,10.8,8.77,3.036,-0.626,-4.156
1995,-4.283,-3.659,-5.537,-1.132,1.96,6.79,10.291,10.568,10.006,5.284,-0.267,-0.119
1996,-3.915,-5.022,-1.51,-0.871,2.994,7.32,9.959,10.22,8.049,3.006,1.088,-3.789
1997,-5.136,-2.549,-4.669,-1.126,2.444,8.171,12.022,12.431,9.743,4.07,1.8,-3.463
1998,-5.263,-3.245,-1.024,0.35,2.146,6.727,10.645,10.342,8.125,4.492,1.802,-2.773
1999,-3.669,-10.11,-8.623,-2.283,0.478,5.353,9.392,9.49,8.604,3.541,-0.625,-5.532
2000,-11.054,-2.307,-1.816,-1.072,1.408,6.218,9.858,9.896,8.008,4.104,2.549,1.652
2001,-0.354,0.149,-1.041,0.12,1.453,6.823,9.68,10.894,9.003,3.72,-0.152,-4.003
2002,-2.734,-5.363,-2.351,-1.189,2.013,6.978,10.162,11.963,9.512,6.432,3.779,0.594
2003,0.212,0.735,-1.827,0.286,3.525,7.175,10.992,12.048,9.478,5.966,1.985,-1.968
2004,-3.605,-1.97,-3.149,-0.626,3.816,7.162,12.638,13.522,10.073,6.112,2.122,-0.12
2005,-1.441,-2.367,-1.253,-1.2,3.334,8.087,12.14,13.012,9.908,5.341,-0.832,-0.981
2006,-6.277,-3.281,-3.907,-1.981,1.171,6.106,10.298,10.393,9.285,6.331,-0.337,-3.755
2007,-6.708,-3.563,-11.94,-1.347,1.851,6.456,10.499,11.514,9.76,4.932,1.784,-2.088
2008,-6.654,-9.953,-7.87,-3.937,0.252,5.065,8.504,10.817,8.968,3.215,-1.341,-1.911
2009,-6.596,-5.431,-6.388,-2.903,1.521,6.102,10.572,10.41,8.909,5.381,-0.469,-1.02
2010,-4.068,-3.435,-9.352,-2.922,1.219,5.624,8.787,9.383,9.002,4.687,0.432,-4.492
2011,-3.973,-5.148,-6.096,-2.289,1.908,6.043,8.759,9.63,8.534,5.014,-0.954,-3.12
2012,-14.036,-5.655,-11.211,-3.191,0.335,6.126,8.091,9.619,7.581,3.788,-1.718,-4.295
2013,-3.166,-6.512,-5.059,-3.254,0.899,7.689,10.715,11.179,8.757,6.076,1.628,-0.946
2014,0.265,-2.283,-2.839,0.275,4.824,8.113,11.769,12.969,11.042,4.861,3.03,1.619
2015,-1.485,-1.301,-1.122,0.57,4.22,9.311,11.682,12.347,9.427,6.768,3.145,0.204
2016,0.881,0.72,0.009,2.791,5.763,10.022,13.168,13.521,11.436,7.483,2.401,-0.815
2017,-3.798,-5.258,-6.056,-0.457,3.752,8.187,11.512,11.674,8.972,5.743,2.746,0.896
2018,-2.48,-1.007,-1.18,0.751,3.482,7.77,10.977,10.957,10.508,7.854,3.898,-1.324
2019,-2.892,-0.856,0.469,1.349,4.754,9.142,13.418,14.077,11.071,7.252,4.231,-1.045
2020,-8.86,-6.387,-5.301,-0.327,2.235,6.826,11.115,12.397,9.197,5.755,1.892,-1.506
2021,-2.438,-2.175,-2.876,-0.495,2.264,5.703,9.963,11.047,8.672,4.381,-3.812,-2.804
2022,-8.725,-3.722,-2.528,-0.642,1.995,7.411,9.885,10.48,9.133,5.608,1.762,-0.851
2023,-2.21,-3.122,-2.272,-2.873,1.242,4.783,8.07,9.8,7.589,4.353,1.447,-2.895
2024,-4.031,-2.446,-5.51,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999